name,team,battingStyle,bowlingStyle,playingRole,description
Muhammad Waseem(c),United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,
Vriitya Aravind,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter,
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,
Tanish Suri ,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Ali Naseer,United Arab Emirates,Left hand Bat,Right arm Medium,Allrounder,
Akif Raja,United Arab Emirates,Left hand Bat,Right arm Medium fast,Bowler,
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Daniel Smith(c),Philippines,Right hand Bat,Right arm Medium fast,,
Mohammad Rizwan ,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
Gede Priandana,Indonesia,Right hand Bat,,,
Daniel Smith,Philippines,Right hand Bat,Right arm Medium fast,,
Kepler Lukies,Philippines,Left hand Bat,Slow Left arm Orthodox,,
Zeeshan Ali ,Hong Kong,Right hand Bat,,Wicketkeeper Batter,
Girish Venkateswaran,Luxembourg,Right hand Bat,Right arm Medium fast,Opening Batter,
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Ferdinando Banunaek,Indonesia,Right hand Bat,Right arm Medium,,
Uday Hathinjar ,Cambodia,Right hand Bat,Right arm Medium,,
Hamed Khan,Hong Kong,Right hand Bat,Right arm Medium,,
Josef Doctora,Philippines,Right hand Bat,Right arm Offbreak,,
Alpesh Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Gopal Thakur,Malta,Right hand Bat,Right arm Medium,,
Lingeswaran Canessane,France,Right hand Bat,,,
Jordan Alegre,Philippines,Right hand Bat,,,
Dillon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,
Grant Russ ,Philippines,Right hand Bat,Right arm Medium,,
Rinku Singh,India,Left hand Bat,Right arm Offbreak,Middle order Batter,
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,
Sharvin Muniandy,Malaysia,Right hand Bat,Right arm Medium,Bowler,
Nizakat Khan,Hong Kong,Right hand Bat,Legbreak,Allrounder,"Nizakat Khan scored 180 runs at the 2010 Under-19 World Cup Qualifiers, including two half-centuries. He also impressed with the ball, capturing ten wickets, which earned him a place in Hong Kong's squad for the main tournament."
Hernan Fennell,Argentina,Right hand Bat,Right arm Medium,,
Nathan Collins(c),Finland,Right hand Bat,Right arm Offbreak,,
Bikram Arora,Malta,Right hand Bat,Legbreak,,
SanjayKumar Thakor,Tanzania,Right hand Bat,Legbreak,,
Ashwin Vinod,Switzerland,Right hand Bat,Right arm Medium fast,,
William Cope ,Luxembourg,Right hand Bat,Right arm Medium,,
Paul Chin ,Cayman Islands,Right hand Bat,,,
Zeeshan Khan,Malta,Right hand Bat,Legbreak,,
Zain Asif,Bulgaria,Right hand Bat,Right arm Medium fast,,
Tilak Varma,India,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Dhruv Parashar,United Arab Emirates,Right hand Bat,,Allrounder,
Shiv Mathur ,Hong Kong,Right hand Bat,Right arm Medium,Batter,
Shayam Warnakulasuriya,France,Right hand Bat,Right arm Medium,,
Rahmanullah Gurbaz ,Afghanistan,Right hand Bat,,Wicketkeeper Batter,
Abdul Hashmi ,Denmark,Right hand Bat,,Wicketkeeper,
Ehsan Khan,Hong Kong,Right hand Bat,Right arm Offbreak,Bowler,
Boteng Maphosa,Botswana,Right hand Bat,Right arm Medium fast,,
Clive Madande ,Zimbabwe,Right hand Bat,,Wicketkeeper Batter,
Anas Khan,Hong Kong,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Zaman Khan,,Right hand Bat,Right arm Fast,Bowler,
Miggy Podosky,Philippines,Right hand Bat,Right arm Medium,,
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Jahmeal Buchanan,Cayman Islands,Left hand Bat,Right arm Offbreak,,
Harsheed Chohan,Tanzania,Right hand Bat,Right arm Medium,,
Harrison Carlyon,Jersey,Right hand Bat,Right arm Offbreak,,
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Karabo Modise,Botswana,Left hand Bat,Slow Left arm Orthodox,,
Phanuwat Desungnoen,Thailand,Right hand Bat,Right arm Offbreak,,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,
James Barker,Luxembourg,Left hand Bat,,,
Gulam Murtaza,Cambodia,Right hand Bat,Right arm Medium,,
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,
Amit	Nathwani,Austria,Right hand Bat,Right arm Offbreak,,
Usman Khan,France,Right hand Bat,Right arm Medium,,
Nopphon Senamontree(c),Thailand,Right hand Bat,Slow Left arm Orthodox,,
Chaloemwong	Chatphaisan,Thailand,Right hand Bat,Right arm Medium,,
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Armaan Randhawa,Austria,,,,
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Ivan Selemani,Tanzania,Right hand Bat,Right arm Offbreak,,
Shah Abrar Hussain,Cambodia,Right hand Bat,Right arm Offbreak,,
Ahmad Faiz(c),Malaysia,Right hand Bat,Legbreak,Batter,"Ahmed Faiz, is a right hand batsman who was a unanimous choice to captain Malaysia at the Under-19 World Cup in 2008. Faiz, a student at the Bandar Penawar Sports School, led the Malaysia Under-19s in two series in 2007: against India, Sri Lanka and England, and in friendly matches Australia and Bangladesh. Faiz has played in Malaysia's senior side but he would like to be a sports science lecturer if he can't become a professional cricketer. Cricinfo staff February 2008
"
Shimron Hetmyer,West Indies,Left hand Bat,,Top order Batter,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. "
Muhammad Jawadullah,United Arab Emirates,Left hand Bat,Left arm Fast medium,Bowler,
Rajesh Kumar,Romania,Right hand Bat,Right arm Medium fast,,
Shantanu Vashisht,Romania,Right hand Bat,Right arm Medium fast,,
Sarawut Maliwan,Thailand,Right hand Bat,Slow Left arm Orthodox,,
Ibrahim Ismail Ranguni Bhana,Panama,Left hand Bat,,,
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
Navin Param,Singapore,Right hand Bat,Right arm Offbreak,,
Hujeifa Jangariya ,Eswatini,Right hand Bat,,,
Cole McConchie,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,
Phiriyapong Suanchuai ,Thailand,Right hand Bat,,Wicketkeeper Batter,
Rohullah Mangal,France,Right hand Bat,Right arm Medium fast,,
Ainool Hafizs ,Malaysia,Right hand Bat,Right arm Medium,Middle order Batter,
Ishaan Swaney,Singapore,Left hand Bat,Slow Left arm Orthodox,,
Chetan Suryawanshi ,Singapore,Right hand Bat,,,
Uday Hathinjar,Cambodia,Right hand Bat,Right arm Medium,,
Waqas Ahmad,Malta,Right hand Bat,Right arm Medium,,
Kirubasankar Ramamoorthy,Indonesia,Right hand Bat,Right arm Offbreak,,
Dinesh Nakrani,Uganda,Left hand Bat,Left arm Medium,Allrounder,
Gede Arta,Indonesia,Left hand Bat,Left arm Medium fast,,
Noman Amjad(c),France,Right hand Bat,Right arm Medium fast,,
Umair Tariq,Austria,Right hand Bat,Right arm Medium,,
Luqman Butt,Cambodia,Right hand Bat,Right arm Medium fast,,
Gurbhupinder Chohan,Philippines,Right hand Bat,Right arm Medium,,
Jaspal Singh,Malta,Right hand Bat,Right arm Medium,,
Aravind Mohan ,Finland,Right hand Bat,Right arm Offbreak,,
Yashasvi Jaiswal,India,Left hand Bat,Legbreak,Opening Batter,
Fanyan Mughal,Malta,,,,
Simon Ssesazi ,Uganda,Left hand Bat,Right arm Slow,,
Will Young,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell"
Kayron J Stagno(c) ,Gibraltar,Right hand Bat,Right arm Offbreak,,
Syed Aziz,Malaysia,Left hand Bat,Right arm Medium,Batting Allrounder,
Tadiwanashe Marumani,Zimbabwe,Left hand Bat,Right arm Offbreak,Top order Batter,
Louis Bruce,Gibraltar,Right hand Bat,Right arm Medium,,
Thomas Martin,Luxembourg,Right hand Bat,Right arm Medium,,
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Sorawat Desungnoen,Thailand,Right hand Bat,Right arm Offbreak,,
Ram Krishan,Estonia,Right hand Bat,Right arm Medium,,
Rahul Ahir,Panama,Right hand Bat,Right arm Medium,,
Nasrulla Rana,Hong Kong,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Brian Bennett,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
Losika Makgale,Botswana,Right hand Bat,Right arm Medium,,
Rohan Rangarajan,Singapore,Right hand Bat,Right arm Offbreak,Batter,
Sahil Chauhan,Estonia,Right hand Bat,Right arm Medium,,
Umair Qasim,Eswatini,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Yalinde Nkanya,Tanzania,Right hand Bat,Slow Left arm Orthodox,,
Arjun Vinod,Switzerland,,,,
Mohammad Ihsan ,Spain,Right hand Bat,,,
Nikunj Ahir,Panama,Right hand Bat,Right arm Medium fast,Bowler,
Ronak Patel,Uganda,Right hand Bat,Slow Left arm Orthodox,,
Kadek Gamantika(c),Indonesia,Right hand Bat,,,
Mahesh Prasanna,Romania,Left hand Bat,Slow Left arm Orthodox,,
Ravindra Athapaththu,Romania,Right hand Bat,Right arm Medium,,
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Alan	Kirschbaum,Argentina,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Gavin Main,Scotland,Right hand Bat,Right arm Fast,Bowler,"Durham's growing interest in cricketers north of the border was illustrated by a first-class debut against Nottinghamshire in 2014 for Gavin Main, a fast bowler who played club cricket for the same Uddingston club as Calum MacLeod. He possesses a classical action and a fine yorker, which he showed by clean bowling Stuart Broad as he took a promising 3-72. However injuries and Scotland call-ups ensured he did not play again for Durham until the end of 2015. He made his Twenty20 International debut against Ireland on 19 June 2015, although no play was possible due to rain, and a List A debut followed against Nepal in the 2015-17 ICC World Cricket League Championship.
ESPNcricinfo"
Karabo Motlhanka,Botswana,Left hand Bat,,,
Abdullah Mahmood,Denmark,Right hand Bat,Right arm Offbreak,,
Patrick Heron,Cayman Islands,Left hand Bat,,,
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,
Timothy Barker,Luxembourg,Left hand Bat,,,
Haroon Arshad,Hong Kong,Right hand Bat,Right arm Medium,Bowling Allrounder,
Thatayaone Tshose,Botswana,Right hand Bat,Right arm Medium,Batting Allrounder,
Mohmad Sohel Patel,Panama,Right hand Bat,Right arm Medium,,
Prosper Useni,Nigeria,Left hand Bat,Left arm Medium,,
Kaushal Rodrigo,Maldives,Right hand Bat,Right arm Offbreak,,
Amit	Nathwani,,Right hand Bat,Right arm Offbreak,,
Anwar Rahman,Malaysia,Right hand Bat,Slow Left arm Orthodox,,
Imad Wasim,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Imad Wasim had been set to study medicine but the offer to play for the Pakistan Under-19 made him change his mind and since then there has been no looking back. Like many aspiring players from his country, he wanted to emulate Wasim Akram but he didn't have the pace his coaches were looking for. Still, the switch to left-arm spin has worked for him. A capable middle-order batsman as well, he was part of the Pakistan side that won the Youth World Cup in 2006, before captaining them in the next edition. "
Brian Masaba,Uganda,Right hand Bat,"Right arm Fast medium, Legbreak Googly",Bowler,
Anjar Tadarus,Indonesia,Right hand Bat,Right arm Medium fast,,
Izhar Hussain,Switzerland,Right hand Bat,Right arm Medium,,
Parveen Kumar,Finland,Right hand Bat,Right arm Medium,,
Aneesh Kumar,Switzerland,Left hand Bat,Slow Left arm Orthodox,,
Kalle Vislapuu,Estonia,Right hand Bat,Right arm Medium fast,Bowler,
Imal Zuwak,Sweden,Right hand Bat,Right arm Medium fast,,
Anish Paraam,Singapore,Right hand Bat,Slow Left arm Orthodox,,
Adil Butt(c),Eswatini,Right hand Bat,Right arm Medium fast,,
Hevit Jackson ,France,Right hand Bat,,,
Faisal Khan,Saudi Arabia,Right hand Bat,Right arm Medium,,
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. "
Muhammad Amin,Eswatini,Right hand Bat,Right arm Medium fast,Opening Batter,
Ibrahim Rizan,Maldives,Right hand Bat,Right arm Offbreak,,
Chanchai Pengkumta,Thailand,Right hand Bat,Right arm Medium,Allrounder,
Shahil Momin,,Left hand Bat,Slow Left arm Orthodox,,
Taranjeet Singh,Romania,Right hand Bat,Right arm Offbreak,,
Dawood Ahmadzai,France,Right hand Bat,Legbreak,,
Nicholas JohnsWickberg,Serbia,Right hand Bat,Right arm Medium fast,,
Ross Adair,Ireland,Right hand Bat,Slow Left arm Orthodox,Top order Batter,
Connor Smith,Malaysia,Right hand Bat,Right arm Medium,Bowler,
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,"Known as the reverse-sweeping demon of the Associate world, George Munsey's path to the Scotland national team is as unorthodox as his trademark shot. Born and raised in Oxford, Munsey had dreams of becoming a professional golfer and it was a golf scholarship to the Loretto School, just outside Edinburgh, that brought him to Scotland at age 13. "
Waqar Ul Hassan,Saudi Arabia,Left hand Bat,Right arm Medium fast,,
Avinash Pai,Gibraltar,Right hand Bat,Right arm Offbreak,,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.
Hassan Khan Mohammad,Hong Kong,Right hand Bat,Right arm Medium,Bowler,
Saim Ayub,Pakistan,Left hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,
Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,
Jash Giyanani,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,
Amit Halbhavi,Luxembourg,Right hand Bat,,,
Maxi Koda,Indonesia,Right hand Bat,Right arm Medium fast,,
Vriitya Aravind ,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Huzaifa Mohammed,Philippines,Right hand Bat,Right arm Offbreak,,
Anilkumar Natubhai Ahir,Panama,Right hand Bat,Left arm Medium,,
Brandon McMullen,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder,
Manmeet Koli,Romania,Right hand Bat,Right arm Medium fast,,
Atif Rasheed,Finland,Right hand Bat,Right arm Medium,,
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler,
Ram Sharan,Cambodia,Right hand Bat,Right arm Offbreak,,
Qais Ahmad,Afghanistan,Right hand Bat,Legbreak,Bowler,
Sivakumar Periyalwar,Romania,Right hand Bat,Right arm Medium fast,,
Mohit Dixit,Luxembourg,Right hand Bat,Left arm Medium fast,,
Kelvin Awala,Ghana,Right hand Bat,Right arm Offbreak,Allrounder,
Paul Stirling(c),Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. "
Salum Jumbe,Tanzania,Left hand Bat,Right arm Medium fast,,
Benjamin Ward,Jersey,Right hand Bat,Legbreak,,
Ijaz Hussain,Romania,Right hand Bat,Right arm Medium fast,,
Saud Munir,Denmark,Right hand Bat,Right arm Medium,,
Martin Coetzee,Hong Kong,Right hand Bat,,Opening Batter,
Kevon Bazil,Cayman Islands,Right hand Bat,Right arm Medium,,
Yasim Murtaza,Hong Kong,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Rizwan Haider,Malaysia,Right hand Bat,Left arm Medium,Bowler,
Vikram Vijh(c),Luxembourg,Left hand Bat,Right arm Medium fast,,
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,
Harsh Thaker,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Kadek Gamantika,Indonesia,Right hand Bat,,,
Jaweed Sadran,Austria,Right hand Bat,Right arm Medium,,
Shadab Khan,,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Ruturaj Gaikwad,India,Right hand Bat,Right arm Offbreak,Batter,
Christiaan Forbes,Eswatini,,,Opening Batter,
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. "
NaveenulHaq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,
Noman Amjad,France,Right hand Bat,Right arm Medium fast,,
Sahel Zadran,Austria,Right hand Bat,Right arm Medium,,
Mukesh Kumar,India,Right hand Bat,Right arm Medium,Bowler,
Peter Gallagher,Finland,Right hand Bat,Right arm Offbreak,,
Anantha Krishna,Singapore,Right hand Bat,Legbreak Googly,,
Julius Sumerauer,Jersey,Right hand Bat,Right arm Fast medium,,
Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time."
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,
Lakshit Gupta,Cambodia,Right hand Bat,Right arm Offbreak,,
Prasidh Krishna,India,Right hand Bat,Right arm Fast medium,Bowler,
Anoop Orsu,Luxembourg,Right hand Bat,Right arm Medium,,
Asif Khan,United Arab Emirates,Right hand Bat,Right arm Offbreak,Batter,
Avi Dixit,Singapore,Left hand Bat,Right arm Medium fast,Batter,
Azyan Farhath,Maldives,Right hand Bat,Right arm Medium,,
Charles Perchard,Jersey,Right hand Bat,Right arm Medium,,
Kayron J Stagno ,Gibraltar,Right hand Bat,Right arm Offbreak,,
Danilson Hawoe,Indonesia,Right hand Bat,Right arm Medium,,
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt."
Charles Perchard(c),Jersey,Right hand Bat,Right arm Medium,,
Ketut Artawan,Indonesia,Right hand Bat,,,
Adil Butt,Eswatini,Right hand Bat,Right arm Medium fast,,
Haris Rashid,Eswatini,Right hand Bat,Right arm Medium,,
Agustin Rivero,Argentina,Right hand Bat,Right arm Medium,,
Aizaz Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,"At 16, medium-pace allrounder Aizaz Khan showed he had the temperament for the big leagues, scoring an unbeaten 30 off 25 balls from No. 9 and taking two wickets (and nearly defending two runs in the final over) against USA Under-19s as Hong Kong qualified for the 2010 U-19 World Cup. Over a year later, with Hong Kong needing 26 off the final two overs against Italy in the World Cricket League Division Three, he got them home with an eight-ball 24 that included three straight sixes. Three days later, Hong Kong went on to win the tournament. "
Nizakat Khan(c),Hong Kong,Right hand Bat,Legbreak,Allrounder,"Nizakat Khan scored 180 runs at the 2010 Under-19 World Cup Qualifiers, including two half-centuries. He also impressed with the ball, capturing ten wickets, which earned him a place in Hong Kong's squad for the main tournament."
Pankaj Malav,Luxembourg,Right hand Bat,Right arm Medium fast,,
Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
Aditya Panwar,Estonia,Right hand Bat,Right arm Medium,,
Sanju Samson ,India,Right hand Bat,,Wicketkeeper Batter,
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Adam McAuley,Isle of Man,Right hand Bat,,Batter,
Sacha De Alwis,Cayman Islands,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Liam Myott,Philippines,Right hand Bat,Right arm Offbreak,,
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"Scotland left-arm spinner Mark Watt made a quiet international debut in 2015 but drew attention to himself more firmly two years on when he took five wickets against Netherlands in a T20I in Dubai, despatching them from 82 for 4 to nine down for less than 100. Later that year, he took three in a famous win against England in an ODI, Scotland's first. Watt won opportunities with Lancashire that summer, although he only took one wicket in four matches."
Zaman Khan,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,
Saeed Ahmed,Sweden,,,,
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"Left-arm spinner George Dockrell made his international debut for Ireland as a 17-year-old in 2010 though he had been bowling spin for only four years at that point, after coach Brian O'Rourke spotted him having a bowl in a car park during an Ireland age-group tour of Wales. "
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
Imran Ameer,Malta,Right hand Bat,Right arm Offbreak,,
Zain Ahmad,France,Right hand Bat,Legbreak Googly,,
Umar Adam(c),Maldives,Right hand Bat,Right arm Offbreak,,
Shahil Momin,Austria,Left hand Bat,Slow Left arm Orthodox,,
Nopphon Senamontree,Thailand,Right hand Bat,Slow Left arm Orthodox,,
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering."
Satvik Nadigotla ,Romania,Right hand Bat,Right arm Offbreak,,
Mehar Cheema ,Austria,Right hand Bat,,,
Safwan Barediya,Eswatini,Left hand Bat,Right arm Medium,,
